Nama Cabang,Provinsi,id,name,state_code,latitude,longitude,type
CKGPUL,DKI Jakarta,1805.0,DKI Jakarta,JK,-6.20876340,106.84559900,capital district
CPTSOE,Banten,1810.0,Banten,BT,-6.40581720,106.06401790,province
CBIPUN,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
MKSVIL,Sulawesi Selatan,1795.0,Sulawesi Selatan,SN,-3.66879940,119.97405340,province
IDMPAN,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
SLWBAN,Jawa Tengah,1802.0,Jawa Tengah,JT,-7.15097500,110.14025940,province
BONIMA,Kalimantan Timur,1804.0,Kalimantan Timur,KI,0.53865860,116.41938900,province
Depo,Jawa Tengah,1802.0,Jawa Tengah,JT,-7.15097500,110.14025940,province
DCKYBKEB,DKI Jakarta,1805.0,DKI Jakarta,JK,-6.20876340,106.84559900,capital district
DCBDGGAT,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
DCMKSSUT,Sulawesi Selatan,1795.0,Sulawesi Selatan,SN,-3.66879940,119.97405340,province
DCTJPKIR,DKI Jakarta,1805.0,DKI Jakarta,JK,-6.20876340,106.84559900,capital district
DCBPPSYA,Kalimantan Timur,1804.0,Kalimantan Timur,KI,0.53865860,116.41938900,province
DCBJMBAN,Kalimantan Selatan,1819.0,Kalimantan Selatan,KS,-3.09264150,115.28375850,province
RMCK1,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
PRDCK1,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
WHCK1,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
RMSULFAT,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
PRDSULFAT,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
EQSULFAT,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
RMCK2,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
PRDCK2,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
WHCK2,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
EQSINGO,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
RMCK3,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
PRDCK3,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
WHCK3,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
MBS-CK,Bali,1826.0,Bali,BA,-8.34053890,115.09195090,province
BALI1,Bali,1826.0,Bali,BA,-8.34053890,115.09195090,province
BALI2,Bali,1826.0,Bali,BA,-8.34053890,115.09195090,province
BALI3,Bali,1826.0,Bali,BA,-8.34053890,115.09195090,province
BALI4,Bali,1826.0,Bali,BA,-8.34053890,115.09195090,province
BALI5,Bali,1826.0,Bali,BA,-8.34053890,115.09195090,province
BALI6,Bali,1826.0,Bali,BA,-8.34053890,115.09195090,province
BALI7,Bali,1826.0,Bali,BA,-8.34053890,115.09195090,province
BALI8,Bali,1826.0,Bali,BA,-8.34053890,115.09195090,province
BALI9,Bali,1826.0,Bali,BA,-8.34053890,115.09195090,province
BALI10,Bali,1826.0,Bali,BA,-8.34053890,115.09195090,province
BALI11,Bali,1826.0,Bali,BA,-8.34053890,115.09195090,province
BALI12,Bali,1826.0,Bali,BA,-8.34053890,115.09195090,province
BACAN,Bali,1826.0,Bali,BA,-8.34053890,115.09195090,province
BAKED,Bali,1826.0,Bali,BA,-8.34053890,115.09195090,province
MEMAN,Sumatera Utara,1792.0,Sumatera Utara,SU,2.11535470,99.54509740,province
BANEG,Bali,1826.0,Bali,BA,-8.34053890,115.09195090,province
BAGIN,Bali,1826.0,Bali,BA,-8.34053890,115.09195090,province
MEDKAR,Sumatera Utara,1792.0,Sumatera Utara,SU,2.11535470,99.54509740,province
MEDMON,Sumatera Utara,1792.0,Sumatera Utara,SU,2.11535470,99.54509740,province
MEDMAR,Sumatera Utara,1792.0,Sumatera Utara,SU,2.11535470,99.54509740,province
PALDAH,Sumatera Selatan,1816.0,Sumatera Selatan,SS,-3.31943740,103.91439900,province
PEKPAN,Riau,1809.0,Riau,RI,0.29334690,101.70682940,province
PPnA-CK,Jawa Tengah,1802.0,Jawa Tengah,JT,-7.15097500,110.14025940,province
SLT,Jawa Tengah,1802.0,Jawa Tengah,JT,-7.15097500,110.14025940,province
PKL,Jawa Tengah,1802.0,Jawa Tengah,JT,-7.15097500,110.14025940,province
PKLIMA,Jawa Tengah,1802.0,Jawa Tengah,JT,-7.15097500,110.14025940,province
SUKUN,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
DIENG,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
POKANG,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
DMC,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
BMI,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
PER,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
IT,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
CKMLGARD,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
DCSMGMUR,Jawa Tengah,1802.0,Jawa Tengah,JT,-7.15097500,110.14025940,province
CKMLGSUJ,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
